Country,Travel Ban,Closure of Commercial activity,Closure of Schools,Social isolation/distancing,Lockdown
Australia,3/20/2020,3/22/2020,NA,3/21/2020,NA
US,3/20/2020,3/16/2020,3/24/2020,3/16/2020,3/24/2020
United Kingdom,3/16/2020,3/20/2020,3/20/2020,3/16/2020,3/23/2020
Italy,3/10/2020,3/11/2020,3/4/2020,2/22/2020,3/9/2020
Spain,3/10/2020,3/15/2020,3/12/2020,NA,3/15/2020
Iran,3/17/2020,NA,3/5/2020,NA,NA
China,1/23/2020,2/1/2020,1/21/2020,2/1/2020,1/23/2020
"Korea, South",3/17/2020,NA,NA,1/24/2020,2/21/2020
Singapore,3/15/2020,NA,NA,2/17/2020,NA
Japan,NA,NA,2/27/2020,2/25/2020,NA